Id,SpeakerName,Phrase,translation
1010301001,,,
1010301002,Shizuka,……懐かしいわね、ここ。,"Tempat ini bikin kangen, ya."
1010301003,Kokona,うん、あの時からなんにも変わってない。/n音も風もお日様も、昔のまま。気持ちいい。,"Iya. Semuanya nggak berubah sejak saat itu./nSuaranya, anginnya, sinar mataharinya, masih sama kayak dulu. Rasanya nyaman."
1010301004,Shizuka,帰って早々、海に来るとは思わなかったけどね。/n見たでしょ？　お母さんの驚いた顔。,Tapi aku nggak nyangka kita bakal langsung ke pantai begitu baru sampai./nKamu lihat kan? Wajah kaget Ibumu tadi.
1010301005,ここな,もう出かけるの！？　って。あはは……。,'Baru sampai kok udah mau pergi lagi!?' katanya. Ahaha...
1010301006,ここな,だって明日には帰っちゃうから、たっぷり吸って帰らないと！　,"Habisnya, besok kita udah harus balik, jadi aku harus puas-puasin menghirup udara di sini!"
1010301007,ここな,持って帰れたらいいのにね、青森の空気。真空パックで。,"Coba aja udara Aomori ini bisa dibawa, ya. Pakai kantong vakum gitu."
1010301008,静香,ここな、真空の意味知ってる？,"Kokona, kamu tahu arti 'vakum' nggak?"
1010301009,ここな,……あ、たしかに！,"Ah, iya juga."
1010301010,静香,ふふ。ここならしい。,"Hehe, Kokona banget."
1010301011,ここな,も〜。笑わないでよ、恥ずかしい……。,"Duh~ Jangan ketawa gitu dong, aku malu jadinya..."
1010301012,静香,ごめんごめん。,Maaf maaf.
1010301013,静香,でもわかるよ、真っ先にここに来たかった理由。,Tapi aku paham kok kenapa kamu mau datang ke tempat ini.
1010301014,静香,初心に帰る。でしょ？　/nここなの演劇人生が始まった場所。,"Kembali ke titik awal, iya kan?/nIni tempat di mana kehidupan teatermu dimulai."
1010301015,ここな,静香ちゃんにはやっぱりお見通しだね。,"Kamu paham juga ya, Shizuka-chan."
1010301016,静香,当然。伊達にここなのセンスはやってないもの。,"Tentu dong. Sense-mu ini bukan cuma pajangan, tahu."
1010301017,ここな,……不思議だよね、ここに来ると思い出すんだ。/n友達がいなかった頃、オーディションに落ちてた頃。,"Aneh ya, kalau datang ke sini aku jadi teringat masa lalu./nWaktu aku belum punya teman, juga waktu aku masih sering gagal audisi."
1010301018,ここな,でも、悲しい思い出ばかりじゃないよ。,"Tapi, kenangannya bukan cuma yang sedih-sedih aja kok."
1010301019,ここな,ここは、大切な親友と出会った場所。,Di sinilah aku bertemu dengan sahabatku yang paling berharga.
1010301020,静香,……そっか。,Gitu ya...
1010301021,ここな,その子は可愛くて、カッコよくて、優しくて。/nひと目見ただけで憧れちゃうくらいお芝居が上手な女の子。,"Dia cantik, keren, dan baik hati./nDia yang aktingnya jago banget sampai bikin aku kagum cuma dalam sekali lihat."
1010301022,ここな,私はその子のこと、大好きなんだ。/n……ねっ、静香ちゃん！　,"Aku sangat menyayanginya./nIya kan, Shizuka-chan?"
1010301023,静香,……待って。/n今のはちょっと、恥ずかしかった。,Bentar dulu. Omonganmu barusan bikin aku malu...
1010301024,ここな,あはは。今日のキュンとさせ対決は私の勝ち！,"Ahaha. Aku yang memenangkan kontes ""mendebarkan hati"" kali ini!"
1010301025,静香,もう、なによそれ。しかも私の番なかったし。,"Duh, apaan tuh. Dan juga giliranku nggak ada."
1010301026,ここな,じゃあ、今度は静香ちゃんね。,"Kalau gitu, sekarang giliranmu, Shizuka-chan."
1010301027,静香,キュンとさせるようなことを言えばいいの？,Aku harus bilang sesuatu yang membuatmu berdebar?
1010301028,ここな,そう、私が照れちゃうようなこと！,"Betul, sesuatu yang bikin aku tersipu!"
1010301029,静香,そうね……。,Coba kulihat...
1010301030,静香,……最近のここなは頼もしくなったわよね。/nシリウスで経験してきた色々なことがちゃんと演技に表れてる。,"Belakangan ini, kamu semakin bisa diandalkan./nBerbagai pengalaman yang kamu alami di Sirius tercermin jelas di aktingmu."
1010301031,静香,舞台上のここなを観てると、/n楽しそうだなって羨ましくなっちゃうくらい。,"Waktu aku lihat kamu di panggung,/naku merasa iri karena kamu terlihat bersenang-senang di sana."
1010301032,ここな,そ、そんな、ほめすぎだよ～。,K-Kamu terlalu memujiku deh...
1010301033,静香,じゃあ、勝負は私の勝ちね。,"Sip, aku yang menang kali ini."
